NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
153	1.504	8.492	0.749	7.028	0.024	0.997	6000.0
154	1.99	10.96	1.049	9.711	0.029	0.993	6000.0
155	1.445	7.948	0.764	7.292	0.023	0.997	6000.0
156	2.894	16.698	1.431	13.62	0.053	0.988	6000.0
157	1.591	8.974	0.808	7.946	0.028	0.996	6000.0
158	3.426	19.021	1.717	16.428	0.063	0.983	6000.0
159	1.733	9.887	0.987	9.344	0.059	0.991	6000.0
160	1.716	9.764	0.928	8.07	0.02	0.997	6000.0
161	2.609	14.566	1.302	12.96	0.067	0.984	6000.0
162	1.29	6.848	0.704	6.502	0.019	0.996	6000.0
163	2.851	15.879	1.73	15.316	0.063	0.987	6000.0
164	1.118	6.253	0.693	5.927	0.022	0.997	6000.0
165	1.751	9.668	0.937	8.603	0.024	0.995	6000.0
166	1.928	10.823	0.981	8.949	0.037	0.995	6000.0
167	1.882	10.187	1.008	9.251	0.031	0.994	6000.0
168	1.66	9.245	0.985	8.526	0.026	0.996	6000.0
169	2.742	15.313	1.464	13.356	0.066	0.984	6000.0
170	1.77	9.97	0.843	8.304	0.027	0.995	6000.0
171	1.647	9.194	0.882	7.807	0.025	0.996	6000.0
172	2.952	16.166	1.442	13.288	0.066	0.989	6000.0
173	1.914	10.735	0.987	8.978	0.047	0.994	6000.0
174	1.768	9.744	0.919	8.769	0.03	0.992	6000.0
175	2.044	11.41	1.052	9.528	0.045	0.995	6000.0
176	2.776	15.92	1.355	12.767	0.054	0.991	6000.0
177	1.923	11.002	1.028	9.359	0.025	0.996	6000.0
178	1.94	10.552	0.957	8.729	0.022	0.995	6000.0
179	1.602	8.885	0.925	8.252	0.023	0.995	6000.0
180	1.55	8.836	0.863	8.174	0.049	0.994	6000.0
181	1.913	10.701	1.102	9.838	0.051	0.991	9000.0
182	1.395	7.948	0.721	6.947	0.025	0.997	9000.0
183	1.475	8.537	0.798	7.002	0.033	0.995	6000.0
184	2.09	11.84	1.03	9.45	0.039	0.993	6000.0
185	1.966	11.025	1.031	9.59	0.024	0.994	6000.0
186	1.955	10.9	1.062	9.754	0.026	0.996	6000.0
187	1.885	10.05	0.95	9.246	0.047	0.993	6000.0
188	1.809	9.817	0.92	8.968	0.044	0.993	6000.0
189	3.312	19.181	1.72	15.734	0.06	0.984	6000.0
190	2.722	15.307	1.398	12.532	0.036	0.99	6000.0
191	1.573	8.865	0.797	7.07	0.025	0.997	6000.0
192	2.028	11.527	0.97	8.895	0.046	0.996	6000.0
193	1.635	9.251	0.863	7.982	0.042	0.995	6000.0
194	2.488	14.203	1.369	12.831	0.06	0.99	6000.0
195	1.813	10.283	1.06	9.862	0.023	0.992	6000.0
196	3.07	17.723	1.498	14.994	0.068	0.986	6000.0
197	1.519	8.162	0.768	6.713	0.021	0.996	9000.0
198	2.195	12.031	1.01	9.042	0.034	0.995	6000.0
199	2.212	12.398	1.235	10.827	0.052	0.994	6000.0
200	1.759	9.776	0.94	8.456	0.039	0.995	6000.0
201	1.199	6.673	0.639	6.039	0.015	0.998	6000.0
202	3.132	17.557	1.738	15.547	0.04	0.982	6000.0
203	1.573	9.144	0.773	6.65	0.033	0.998	7000.0
204	2.085	11.795	1.234	11.026	0.046	0.994	6000.0
205	2.24	12.551	1.237	10.901	0.032	0.991	6000.0
206	2.182	12.341	1.073	9.824	0.04	0.993	6000.0
207	2.532	13.961	1.281	11.34	0.047	0.991	6000.0
208	1.28	7.133	0.792	7.218	0.024	0.996	6000.0
209	1.848	10.495	0.909	8.448	0.032	0.996	6000.0
210	1.768	9.664	1.025	8.838	0.036	0.996	6000.0
211	2.506	14.504	1.243	11.095	0.046	0.993	7000.0
212	3.043	16.331	1.476	12.987	0.063	0.987	6000.0
213	1.993	10.698	0.939	8.368	0.044	0.995	6000.0
214	1.466	8.459	0.819	7.757	0.018	0.996	6000.0
215	2.107	12.103	1.088	10.071	0.062	0.992	6000.0
216	2.391	13.227	1.228	11.645	0.045	0.992	6000.0
217	1.58	8.849	0.742	7.301	0.032	0.995	6000.0
218	2.114	11.846	1.065	9.839	0.05	0.993	6000.0
219	1.464	8.257	0.749	6.941	0.034	0.996	8000.0
220	2.355	13.292	1.248	11.515	0.037	0.99	6000.0
221	1.898	10.579	1.029	9.766	0.025	0.993	6000.0
222	2.303	12.504	1.193	11.298	0.036	0.992	6000.0
223	2.089	11.606	1.021	9.062	0.051	0.995	6000.0
224	2.346	12.752	1.314	11.906	0.031	0.992	6000.0
225	1.219	6.775	0.61	5.735	0.015	0.998	7000.0
226	1.914	11.077	1.126	9.968	0.024	0.994	6000.0
227	1.996	11.309	0.98	9.308	0.024	0.994	6000.0
228	1.993	11.121	1.092	9.983	0.033	0.994	6000.0
229	1.664	9.16	0.827	7.503	0.049	0.996	6000.0
230	2.017	11.219	0.973	8.741	0.031	0.995	6000.0
231	1.213	6.5	0.73	6.664	0.031	0.996	6000.0
232	3.104	17.492	1.507	15.196	0.056	0.987	6000.0
233	2.092	11.376	1.145	10.319	0.053	0.99	6000.0
234	3.33	19.36	1.714	15.592	0.057	0.983	6000.0
235	1.751	9.878	0.975	8.933	0.031	0.994	20000.0
236	1.453	8.398	0.731	6.38	0.027	0.997	6000.0
237	1.311	7.532	0.733	6.492	0.026	0.997	6000.0
238	2.816	16.09	1.357	12.876	0.061	0.988	6000.0
239	1.996	11.111	0.989	9.278	0.04	0.994	6000.0
240	3.693	20.492	1.911	18.008	0.052	0.981	6000.0
241	3.435	19.178	1.772	16.059	0.04	0.987	6000.0
242	1.061	6.006	0.588	5.248	0.023	0.998	6000.0
243	2.275	13.042	1.193	11.276	0.035	0.994	6000.0
244	2.81	15.931	1.441	14.161	0.056	0.986	6000.0
245	1.997	11.257	1.041	9.397	0.035	0.995	6000.0
246	2.041	11.322	1.122	10.234	0.028	0.994	6000.0
247	2.155	12.284	1.177	9.471	0.036	0.995	6000.0
248	1.982	11.232	1.11	9.933	0.033	0.994	6000.0
249	2.154	12.418	1.052	9.867	0.043	0.994	6000.0
250	2.777	15.841	1.438	13.445	0.045	0.988	6000.0
251	1.805	9.99	0.994	9.53	0.034	0.994	6000.0
252	1.432	7.812	0.738	6.499	0.027	0.997	6000.0
253	2.017	11.266	1.043	9.539	0.049	0.994	7000.0
254	3.249	18.434	1.695	14.824	0.055	0.988	6000.0
255	1.906	10.821	1.028	9.121	0.019	0.995	6000.0
256	2.37	13.515	1.214	11.674	0.053	0.99	6000.0
257	1.819	10.117	1.045	9.753	0.031	0.993	7000.0
258	2.611	14.711	1.393	12.629	0.05	0.991	6000.0
259	1.987	11.242	1.086	9.79	0.03	0.993	6000.0
260	0.75	3.999	0.471	4.165	0.016	0.999	6000.0
261	2.42	13.729	1.328	11.743	0.057	0.99	6000.0
262	2.011	11.301	0.925	9.63	0.052	0.989	6000.0
263	1.806	10.119	0.929	8.579	0.034	0.995	6000.0
264	2.232	12.192	1.112	10.25	0.042	0.993	6000.0
265	3.712	20.667	1.987	18.334	0.052	0.983	6000.0
266	1.808	10.299	0.924	8.906	0.031	0.993	6000.0
267	2.327	12.972	1.213	10.953	0.066	0.986	6000.0
268	1.865	10.049	0.971	8.539	0.03	0.995	6000.0
269	1.752	9.642	1.056	9.903	0.027	0.994	6000.0
270	1.547	8.755	0.857	7.214	0.017	0.997	6000.0
271	1.644	9.494	0.867	7.519	0.043	0.996	6000.0
272	2.173	12.129	1.117	10.514	0.04	0.991	6000.0
273	1.501	8.851	0.82	7.047	0.027	0.996	6000.0
274	3.159	17.794	1.604	15.417	0.048	0.986	6000.0
275	2.435	13.65	1.408	13.501	0.026	0.987	6000.0
276	3.05	17.264	1.686	16.205	0.049	0.987	6000.0
277	1.707	9.741	0.831	7.768	0.036	0.997	6000.0
278	2.874	16.151	1.466	13.512	0.058	0.988	6000.0
279	1.491	8.385	0.732	6.515	0.038	0.997	6000.0
280	1.711	9.746	0.958	8.477	0.021	0.996	6000.0
281	2.067	11.776	1.064	9.952	0.033	0.994	6000.0
282	0.978	5.443	0.557	4.809	0.016	0.999	9000.0
283	2.033	11.128	1.097	9.676	0.038	0.993	6000.0
284	1.622	9.103	0.803	7.669	0.026	0.996	6000.0
285	1.773	10.01	0.982	8.659	0.027	0.995	6000.0
286	1.696	9.439	0.851	7.613	0.04	0.997	6000.0
287	1.509	8.194	0.782	7.248	0.025	0.997	6000.0
288	2.616	14.697	1.321	12.094	0.051	0.993	6000.0
289	2.021	11.543	1.023	8.986	0.036	0.996	6000.0
290	2.197	12.392	1.084	9.855	0.036	0.993	6000.0
291	3.332	18.576	1.921	16.905	0.043	0.986	6000.0
292	2.51	13.802	1.234	10.803	0.038	0.995	6000.0
293	1.909	10.59	1.013	9.093	0.041	0.995	6000.0
294	1.833	10.335	0.936	8.798	0.038	0.995	6000.0
