NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
421	5.986	20.542	2.523	20.665	0.056	0.974	6000.0
422	5.382	18.36	2.238	17.023	0.051	0.985	6000.0
423	4.496	15.438	1.877	15.786	0.034	0.982	6000.0
424	6.369	21.873	2.679	21.82	0.052	0.972	6000.0
425	5.676	19.486	2.453	19.034	0.048	0.976	6000.0
426	5.259	18.0	2.12	17.038	0.047	0.983	6000.0
427	4.102	14.155	1.821	13.596	0.033	0.988	6000.0
428	6.675	22.799	2.782	21.291	0.056	0.971	6000.0
429	5.184	17.774	2.092	17.362	0.044	0.983	6000.0
430	5.711	19.616	2.407	19.554	0.05	0.976	6000.0
431	5.541	18.936	2.298	18.533	0.053	0.979	6000.0
432	6.144	21.318	2.778	21.587	0.06	0.967	6000.0
433	4.009	13.836	1.702	14.183	0.037	0.986	6000.0
434	5.182	17.679	2.233	18.3	0.044	0.977	6000.0
435	5.778	19.691	2.539	20.174	0.055	0.971	6000.0
436	5.898	20.221	2.47	18.993	0.066	0.978	6000.0
437	4.136	14.093	1.686	13.592	0.024	0.987	6000.0
438	6.646	22.915	2.826	22.64	0.069	0.965	6000.0
439	6.093	20.873	2.625	20.71	0.049	0.975	6000.0
440	6.535	22.428	2.923	23.49	0.051	0.967	6000.0
441	7.339	25.107	3.086	24.132	0.059	0.962	6000.0
442	5.637	19.191	2.455	19.348	0.054	0.97	6000.0
443	6.391	21.798	2.781	22.119	0.061	0.968	6000.0
444	7.133	24.461	2.999	24.959	0.076	0.964	6000.0
445	5.498	18.878	2.331	18.076	0.047	0.978	6000.0
446	5.307	18.076	2.153	16.999	0.051	0.975	6000.0
447	7.32	25.02	3.14	24.29	0.067	0.961	6000.0
448	6.032	20.616	2.551	20.643	0.056	0.97	6000.0
449	4.785	16.364	1.99	16.372	0.043	0.982	6000.0
450	6.739	23.094	2.901	22.9	0.059	0.968	6000.0
451	7.608	26.085	3.248	25.257	0.085	0.957	6000.0
